Replicate	Generation	Colony	ID	time	value
MO.0	0	1	A0	24	0.5
MO.0	0	2	A0	24	0.4
MO.0	0	3	A0	24	0.5
MO.0	0	4	A0	24	0.4
MO.1.9	9	1	SS.1	24	0.3
MO.1.9	9	2	SS.1	24	0.3
MO.1.9	9	3	SS.1	24	0.3
MO.1.9	9	4	SS.1	24	0.3
MO.2.9	9	1	SS.2	24	0.4
MO.2.9	9	2	SS.2	24	0.4
MO.2.9	9	3	SS.2	24	0.4
MO.2.9	9	4	SS.2	24	0.4
MO.3.9	9	1	SS.3	24	0.3
MO.3.9	9	2	SS.3	24	0.3
MO.3.9	9	3	SS.3	24	0.3
MO.3.9	9	4	SS.3	24	0.3
MO.A1.7	7	1	A1	24	0.3
MO.A1.7	7	2	A1	24	0.3
MO.A1.7	7	3	A1	24	0.3
MO.A1.7	7	4	A1	24	0.3
MO.A2.7	7	1	A2	24	0.3
MO.A2.7	7	2	A2	24	0.3
MO.A2.7	7	3	A2	24	0.3
MO.A2.7	7	4	A2	24	0.3
MO.B1.7	7	1	B1	24	0.3
MO.B2.7	7	1	B2	24	0.3
MO.B2.7	7	2	B2	24	0.3
MO.B2.7	7	3	B2	24	0.3
MO.B2.7	7	4	B2	24	0.3
MO.C1.7	7	1	C1	24	0.3
MO.C1.7	7	2	C1	24	0.3
MO.C1.7	7	3	C1	24	0.3
MO.C1.7	7	4	C1	24	0.3
MO.C2.7	7	1	C2	24	0.3
MO.C2.7	7	2	C2	24	0.3
MO.C2.7	7	3	C2	24	0.3
MO.C2.7	7	4	C2	24	0.3
MO.D1.7	7	1	D1	24	0.3
MO.D1.7	7	2	D1	24	0.3
MO.D1.7	7	3	D1	24	0.3
MO.D1.7	7	4	D1	24	0.3
MO.D2.7	7	1	D2	24	0.3
MO.D2.7	7	2	D2	24	0.3
MO.D2.7	7	3	D2	24	0.3
MO.D2.7	7	4	D2	24	0.3
MO.E1.7	7	1	E1	24	0.3
MO.E1.7	7	2	E1	24	0.3
MO.E1.7	7	3	E1	24	0.3
MO.E1.7	7	4	E1	24	0.3
MO.E2.7	7	1	E2	24	0.3
MO.E2.7	7	2	E2	24	0.3
MO.E2.7	7	3	E2	24	0.3
MO.E2.7	7	4	E2	24	0.3
MO.F1.7	7	1	F1	24	0.3
MO.F1.7	7	2	F1	24	0.3
MO.F1.7	7	3	F1	24	0.3
MO.F1.7	7	4	F1	24	0.3
MO.F2.7	7	1	F2	24	0.3
MO.F2.7	7	2	F2	24	0.3
MO.F2.7	7	3	F2	24	0.3
MO.F2.7	7	4	F2	24	0.3
MO.G1.7	7	1	G1	24	0.3
MO.G1.7	7	2	G1	24	0.3
MO.G1.7	7	3	G1	24	0.3
MO.G1.7	7	4	G1	24	0.3
MO.G2.7	7	1	G2	24	0.3
MO.G2.7	7	2	G2	24	0.3
MO.G2.7	7	3	G2	24	0.3
MO.G2.7	7	4	G2	24	0.3
MO.H1.7	7	1	H1	24	0.3
MO.H1.7	7	2	H1	24	0.3
MO.H1.7	7	3	H1	24	0.3
MO.H1.7	7	4	H1	24	0.3
MO.H2.7	7	1	H2	24	0.3
MO.H2.7	7	2	H2	24	0.3
MO.H2.7	7	3	H2	24	0.3
MO.H2.7	7	4	H2	24	0.3
MO.I1.7	7	1	I1	24	0.3
MO.I1.7	7	2	I1	24	0.3
MO.I1.7	7	3	I1	24	0.3
MO.I1.7	7	4	I1	24	0.3
MO.I2.7	7	1	I2	24	0.3
MO.I2.7	7	2	I2	24	0.3
MO.I2.7	7	3	I2	24	0.3
MO.I2.7	7	4	I2	24	0.3
MO.J1.7	7	1	J1	24	0.3
MO.J1.7	7	2	J1	24	0.3
MO.J1.7	7	3	J1	24	0.3
MO.J1.7	7	4	J1	24	0.3
MO.J2.7	7	1	J2	24	0.3
MO.J2.7	7	2	J2	24	0.3
MO.J2.7	7	3	J2	24	0.3
MO.J2.7	7	4	J2	24	0.3
MO.K1.7	7	1	K1	24	0.3
MO.K1.7	7	2	K1	24	0.3
MO.K1.7	7	3	K1	24	0.3
MO.K1.7	7	4	K1	24	0.3
MO.K2.7	7	1	K2	24	0.3
MO.K2.7	7	2	K2	24	0.3
MO.K2.7	7	3	K2	24	0.3
MO.K2.7	7	4	K2	24	0.3
MO.L1.7	7	1	L1	24	0.3
MO.L1.7	7	2	L1	24	0.3
MO.L1.7	7	3	L1	24	0.3
MO.L1.7	7	4	L1	24	0.3
MO.L2.7	7	1	L2	24	0.3
MO.L2.7	7	2	L2	24	0.3
MO.L2.7	7	3	L2	24	0.3
MO.L2.7	7	4	L2	24	0.3
MO.0	0	1	A0	48	0.8
MO.0	0	2	A0	48	0.8
MO.0	0	3	A0	48	0.8
MO.0	0	4	A0	48	0.9
MO.1.9	9	1	SS.1	48	0.3
MO.1.9	9	2	SS.1	48	0.3
MO.1.9	9	3	SS.1	48	0.3
MO.1.9	9	4	SS.1	48	0.3
MO.2.9	9	1	SS.2	48	0.6
MO.2.9	9	2	SS.2	48	0.6
MO.2.9	9	3	SS.2	48	0.6
MO.2.9	9	4	SS.2	48	0.7
MO.3.9	9	1	SS.3	48	0.6
MO.3.9	9	2	SS.3	48	0.6
MO.3.9	9	3	SS.3	48	0.6
MO.3.9	9	4	SS.3	48	0.5
MO.A1.7	7	1	A1	48	0.5
MO.A1.7	7	2	A1	48	0.5
MO.A1.7	7	3	A1	48	0.5
MO.A1.7	7	4	A1	48	0.5
MO.A2.7	7	1	A2	48	0.5
MO.A2.7	7	2	A2	48	0.5
MO.A2.7	7	3	A2	48	0.5
MO.A2.7	7	4	A2	48	0.5
MO.B1.7	7	1	B1	48	0.5
MO.B2.7	7	1	B2	48	0.6
MO.B2.7	7	2	B2	48	0.8
MO.B2.7	7	3	B2	48	0.5
MO.B2.7	7	4	B2	48	0.5
MO.C1.7	7	1	C1	48	0.5
MO.C1.7	7	2	C1	48	0.5
MO.C1.7	7	3	C1	48	0.5
MO.C1.7	7	4	C1	48	0.5
MO.C2.7	7	1	C2	48	0.5
MO.C2.7	7	2	C2	48	0.5
MO.C2.7	7	3	C2	48	0.5
MO.C2.7	7	4	C2	48	0.3
MO.D1.7	7	1	D1	48	0.5
MO.D1.7	7	2	D1	48	0.5
MO.D1.7	7	3	D1	48	0.5
MO.D1.7	7	4	D1	48	0.5
MO.D2.7	7	1	D2	48	0.3
MO.D2.7	7	2	D2	48	0.3
MO.D2.7	7	3	D2	48	0.3
MO.D2.7	7	4	D2	48	0.5
MO.E1.7	7	1	E1	48	0.5
MO.E1.7	7	2	E1	48	0.5
MO.E1.7	7	3	E1	48	0.5
MO.E1.7	7	4	E1	48	0.5
MO.E2.7	7	1	E2	48	0.5
MO.E2.7	7	2	E2	48	0.5
MO.E2.7	7	3	E2	48	0.5
MO.E2.7	7	4	E2	48	0.5
MO.F1.7	7	1	F1	48	0.5
MO.F1.7	7	2	F1	48	0.5
MO.F1.7	7	3	F1	48	0.5
MO.F1.7	7	4	F1	48	0.5
MO.F2.7	7	1	F2	48	0.5
MO.F2.7	7	2	F2	48	0.5
MO.F2.7	7	3	F2	48	0.5
MO.F2.7	7	4	F2	48	0.5
MO.G1.7	7	1	G1	48	0.5
MO.G1.7	7	2	G1	48	0.5
MO.G1.7	7	3	G1	48	0.5
MO.G1.7	7	4	G1	48	0.5
MO.G2.7	7	1	G2	48	0.5
MO.G2.7	7	2	G2	48	0.5
MO.G2.7	7	3	G2	48	0.5
MO.G2.7	7	4	G2	48	0.5
MO.H1.7	7	1	H1	48	0.5
MO.H1.7	7	2	H1	48	0.5
MO.H1.7	7	3	H1	48	0.5
MO.H1.7	7	4	H1	48	0.5
MO.H2.7	7	1	H2	48	0.5
MO.H2.7	7	2	H2	48	0.5
MO.H2.7	7	3	H2	48	0.5
MO.H2.7	7	4	H2	48	0.5
MO.I1.7	7	1	I1	48	0.5
MO.I1.7	7	2	I1	48	0.5
MO.I1.7	7	3	I1	48	0.5
MO.I1.7	7	4	I1	48	0.5
MO.I2.7	7	1	I2	48	0.5
MO.I2.7	7	2	I2	48	0.5
MO.I2.7	7	3	I2	48	0.5
MO.I2.7	7	4	I2	48	0.5
MO.J1.7	7	1	J1	48	0.5
MO.J1.7	7	2	J1	48	0.5
MO.J1.7	7	3	J1	48	0.5
MO.J1.7	7	4	J1	48	0.5
MO.J2.7	7	1	J2	48	0.5
MO.J2.7	7	2	J2	48	0.5
MO.J2.7	7	3	J2	48	0.5
MO.J2.7	7	4	J2	48	0.5
MO.K1.7	7	1	K1	48	0.5
MO.K1.7	7	2	K1	48	0.5
MO.K1.7	7	3	K1	48	0.5
MO.K1.7	7	4	K1	48	0.5
MO.K2.7	7	1	K2	48	0.5
MO.K2.7	7	2	K2	48	0.5
MO.K2.7	7	3	K2	48	0.5
MO.K2.7	7	4	K2	48	0.5
MO.L1.7	7	1	L1	48	0.5
MO.L1.7	7	2	L1	48	0.5
MO.L1.7	7	3	L1	48	0.5
MO.L1.7	7	4	L1	48	0.5
MO.L2.7	7	1	L2	48	0.5
MO.L2.7	7	2	L2	48	0.5
MO.L2.7	7	3	L2	48	0.5
MO.L2.7	7	4	L2	48	0.5
