species	strain	replicate	time	value
MO	MO.0	1	0.16	0.105
MO	MO.0	1	0.32	0.106
MO	MO.0	1	0.49	0.106
MO	MO.0	1	0.66	0.106
MO	MO.0	1	0.82	0.105
MO	MO.0	1	0.99	0.105
MO	MO.0	1	1.16	0.105
MO	MO.0	1	1.32	0.105
MO	MO.0	1	1.49	0.105
MO	MO.0	1	1.66	0.105
MO	MO.0	1	1.82	0.105
MO	MO.0	1	1.99	0.105
MO	MO.0	1	2.16	0.104
MO	MO.0	1	2.32	0.104
MO	MO.0	1	2.49	0.104
MO	MO.0	1	2.66	0.104
MO	MO.0	1	2.82	0.104
MO	MO.0	1	2.99	0.103
MO	MO.0	1	3.16	0.103
MO	MO.0	1	3.32	0.103
MO	MO.0	1	3.49	0.103
MO	MO.0	1	3.66	0.103
MO	MO.0	1	3.82	0.103
MO	MO.0	1	3.99	0.103
MO	MO.0	1	4.16	0.103
MO	MO.0	1	4.32	0.103
MO	MO.0	1	4.49	0.102
MO	MO.0	1	4.66	0.103
MO	MO.0	1	4.82	0.103
MO	MO.0	1	4.99	0.102
MO	MO.0	1	5.16	0.102
MO	MO.0	1	5.32	0.102
MO	MO.0	1	5.49	0.102
MO	MO.0	1	5.66	0.103
MO	MO.0	1	5.82	0.102
MO	MO.0	1	5.99	0.102
MO	MO.0	1	6.16	0.102
MO	MO.0	1	6.32	0.103
MO	MO.0	1	6.49	0.103
MO	MO.0	1	6.66	0.103
MO	MO.0	1	6.82	0.102
MO	MO.0	1	6.99	0.103
MO	MO.0	1	7.16	0.103
MO	MO.0	1	7.32	0.103
MO	MO.0	1	7.49	0.103
MO	MO.0	1	7.66	0.103
MO	MO.0	1	7.82	0.103
MO	MO.0	1	7.99	0.103
MO	MO.0	1	8.16	0.103
MO	MO.0	1	8.32	0.103
MO	MO.0	1	8.49	0.103
MO	MO.0	1	8.66	0.103
MO	MO.0	1	8.82	0.103
MO	MO.0	1	8.99	0.104
MO	MO.0	1	9.16	0.104
MO	MO.0	1	9.32	0.104
MO	MO.0	1	9.49	0.104
MO	MO.0	1	9.66	0.104
MO	MO.0	1	9.82	0.105
MO	MO.0	1	9.99	0.105
MO	MO.0	1	10.16	0.105
MO	MO.0	1	10.32	0.105
MO	MO.0	1	10.49	0.105
MO	MO.0	1	10.66	0.106
MO	MO.0	1	10.82	0.106
MO	MO.0	1	10.99	0.106
MO	MO.0	1	11.16	0.107
MO	MO.0	1	11.32	0.107
MO	MO.0	1	11.49	0.107
MO	MO.0	1	11.66	0.107
MO	MO.0	1	11.82	0.108
MO	MO.0	1	11.99	0.108
MO	MO.0	1	12.16	0.109
MO	MO.0	1	12.32	0.109
MO	MO.0	1	12.49	0.109
MO	MO.0	1	12.66	0.11
MO	MO.0	1	12.82	0.11
MO	MO.0	1	12.99	0.111
MO	MO.0	1	13.16	0.112
MO	MO.0	1	13.32	0.113
MO	MO.0	1	13.49	0.113
MO	MO.0	1	13.66	0.114
MO	MO.0	1	13.82	0.115
MO	MO.0	1	13.99	0.117
MO	MO.0	1	14.16	0.117
MO	MO.0	1	14.32	0.118
MO	MO.0	1	14.49	0.12
MO	MO.0	1	14.66	0.122
MO	MO.0	1	14.82	0.124
MO	MO.0	1	14.99	0.126
MO	MO.0	1	15.16	0.129
MO	MO.0	1	15.32	0.131
MO	MO.0	1	15.49	0.133
MO	MO.0	1	15.66	0.135
MO	MO.0	1	15.82	0.138
MO	MO.0	1	15.99	0.141
MO	MO.0	1	16.16	0.143
MO	MO.0	1	16.32	0.144
MO	MO.0	1	16.49	0.145
MO	MO.0	1	16.66	0.149
MO	MO.0	1	16.82	0.152
MO	MO.0	1	16.99	0.154
MO	MO.0	1	17.16	0.156
MO	MO.0	1	17.32	0.157
MO	MO.0	1	17.49	0.158
MO	MO.0	1	17.66	0.16
MO	MO.0	1	17.82	0.161
MO	MO.0	1	17.99	0.164
MO	MO.0	1	18.16	0.165
MO	MO.0	1	18.32	0.168
MO	MO.0	1	18.49	0.171
MO	MO.0	1	18.66	0.172
MO	MO.0	1	18.82	0.174
MO	MO.0	1	18.99	0.174
MO	MO.0	1	19.16	0.177
MO	MO.0	1	19.32	0.177
MO	MO.0	1	19.49	0.178
MO	MO.0	1	19.66	0.179
MO	MO.0	1	19.82	0.18
MO	MO.0	1	19.99	0.183
MO	MO.0	1	20.16	0.182
MO	MO.0	1	20.32	0.185
MO	MO.0	1	20.49	0.185
MO	MO.0	1	20.66	0.188
MO	MO.0	1	20.82	0.19
MO	MO.0	1	20.99	0.19
MO	MO.0	1	21.16	0.194
MO	MO.0	1	21.32	0.195
MO	MO.0	1	21.49	0.198
MO	MO.0	1	21.66	0.201
MO	MO.0	1	21.82	0.202
MO	MO.0	1	21.99	0.204
MO	MO.0	1	22.16	0.206
MO	MO.0	1	22.32	0.209
MO	MO.0	1	22.49	0.214
MO	MO.0	1	22.66	0.215
MO	MO.0	1	22.82	0.218
MO	MO.0	1	22.99	0.221
MO	MO.0	1	23.16	0.223
MO	MO.0	1	23.32	0.223
MO	MO.0	1	23.49	0.224
MO	MO.0	1	23.66	0.225
MO	MO.0	1	23.82	0.227
MO	MO.0	1	23.99	0.228
MO	MO.0	1	24.16	0.232
MO	MO.0	1	24.32	0.234
MO	MO.0	1	24.49	0.234
MO	MO.0	1	24.66	0.236
MO	MO.0	1	24.82	0.238
MO	MO.0	1	24.99	0.24
MO	MO.0	1	25.16	0.243
MO	MO.0	1	25.32	0.243
MO	MO.0	1	25.49	0.245
MO	MO.0	1	25.66	0.248
MO	MO.0	1	25.82	0.249
MO	MO.0	1	25.99	0.251
MO	MO.0	1	26.16	0.252
MO	MO.0	1	26.32	0.254
MO	MO.0	1	26.49	0.256
MO	MO.0	1	26.66	0.257
MO	MO.0	1	26.82	0.26
MO	MO.0	1	26.99	0.261
MO	MO.0	1	27.16	0.263
MO	MO.0	1	27.32	0.265
MO	MO.0	1	27.49	0.266
MO	MO.0	1	27.66	0.268
MO	MO.0	1	27.82	0.269
MO	MO.0	1	27.99	0.271
MO	MO.0	1	28.16	0.271
MO	MO.0	1	28.32	0.275
MO	MO.0	1	28.49	0.276
MO	MO.0	1	28.66	0.277
MO	MO.0	1	28.82	0.277
MO	MO.0	1	28.99	0.279
MO	MO.0	1	29.16	0.281
MO	MO.0	1	29.32	0.28
MO	MO.0	1	29.49	0.282
