day	rep	Species	Strain	Survival
0	1	EC	OP50	1
0	2	EC	OP50	1
0	3	EC	OP50	1
0	1	CG	ANC	1
0	2	CG	ANC	1
0	3	CG	ANC	1
0	1	CG	A1.9	1
0	2	CG	A1.9	1
0	3	CG	A1.9	1
1	1	EC	OP50	1
1	2	EC	OP50	1
1	3	EC	OP50	1
1	1	CG	ANC	0.92
1	2	CG	ANC	0.98
1	3	CG	ANC	1
1	1	CG	A1.9	0.98
1	2	CG	A1.9	0.96
1	3	CG	A1.9	0.94
2	1	EC	OP50	1
2	2	EC	OP50	1
2	3	EC	OP50	1
2	1	CG	ANC	0.18
2	2	CG	ANC	0.22
2	3	CG	ANC	0.5
2	1	CG	A1.9	0.42
2	2	CG	A1.9	0.2
2	3	CG	A1.9	0.18
3	1	EC	OP50	1
3	2	EC	OP50	1
3	3	EC	OP50	1
3	1	CG	ANC	0.04
3	2	CG	ANC	0.18
3	3	CG	ANC	0.08
3	1	CG	A1.9	0.18
3	2	CG	A1.9	0.14
3	3	CG	A1.9	0.1
4	1	EC	OP50	1
4	2	EC	OP50	1
4	3	EC	OP50	1
4	1	CG	ANC	0
4	2	CG	ANC	0.14
4	3	CG	ANC	0.08
4	1	CG	A1.9	0.04
4	2	CG	A1.9	0.06
4	3	CG	A1.9	0.04
