well	k	n0	r	t_mid	t_gen	auc_l	auc_e	sigma	Strain
B2	0.38459532	2.65E-05	0.834018423	11.48870553	0.831093368	14.10357643	14.12255	0.039961113	CG.1
B3	0.27994869	0.000106861	0.669248965	11.76011733	1.035709006	10.18993975	10.183955	0.009229167	CG.2
B4	0.330745005	4.37E-06	0.832392972	13.49706702	0.832716282	11.46458669	11.47955	0.022634784	CG.3
B5	0.352804249	0.000139756	0.714465565	10.96396182	0.970161775	13.12272466	13.135125	0.031931124	CG.A1.9
B6	0.34488194	0.000157512	0.720496964	10.67457851	0.962040391	12.9278262	12.96832	0.029860783	CG.0
B7	0.218299345	0.00028345	0.214686305	30.95347235	3.228651125	3.779833913	3.756265	0.003950816	MO.1
B8	0.229795301	0.001242802	0.191959271	27.16408188	3.61090754	4.839354749	4.82207	0.003831701	MO.2
B9	0.229562442	0.000759072	0.184860589	30.88014263	3.749567087	4.01258269	3.973975	0.003695856	MO.3
B10	0.229266619	0.000959637	0.17966437	30.4561845	3.858011356	4.105496492	4.06879	0.004161935	MO.A1.9
B11	0.229165117	0.000906416	0.178843313	30.913858	3.875723215	4.004468844	3.970395	0.003772988	MO.0
C2	0.438891311	0.000752719	0.630131087	10.10360931	1.100004737	16.70142361	16.68214	0.03682873	CG.1
C3	0.336755169	0.000121557	0.715586439	11.07674847	0.968642142	12.48780672	12.48959	0.015421414	CG.2
C4	0.341544172	3.27E-05	0.841115863	11.00318255	0.824080499	12.69065563	12.69599	0.018248729	CG.3
C5	0.349089177	0.000313139	0.705625455	9.942297622	0.982316009	13.34094228	13.35699	0.030683094	CG.A1.9
C6	0.397572089	0.000343685	0.644863196	10.936493	1.074874771	14.79849427	14.79332	0.03811226	CG.0
C7	0.215204255	0.000657076	0.227967882	25.39167003	3.040547525	4.902197844	4.88935	0.005531348	MO.1
C8	0.251013183	0.000623584	0.179756019	33.35237158	3.856044337	3.807687661	3.783215	0.00292316	MO.2
C9	0.250498724	0.000827965	0.172381458	33.11798971	4.021007772	3.868014157	3.8385	0.00334515	MO.3
C10	0.242177103	0.000571933	0.177032308	34.15217664	3.91537108	3.499171314	3.46748	0.003723663	MO.A1.9
C11	0.244128819	0.00085538	0.170761419	33.08941756	4.059155661	3.77922676	3.744665	0.003428728	MO.0
D2	0.304740347	4.30E-05	0.590774194	15.00649619	1.173286152	10.10313743	10.07657	0.007376613	CG.1
D3	0.302402194	5.59E-05	0.587314515	14.63491604	1.180197598	10.1379637	10.11497	0.007429736	CG.2
D4	0.310808744	3.98E-05	0.589594761	15.19997281	1.175633208	10.24419708	10.227635	0.00612972	CG.3
D5	0.274909361	9.01E-06	0.669772653	15.41688227	1.034899196	9.001376115	9.011755	0.007736387	CG.A1.9
D6	0.296800893	1.85E-05	0.56443462	17.15230715	1.228038034	9.203078126	9.176775	0.006515805	CG.0
D7	0.230755349	9.65E-05	0.212581967	36.59433315	3.260611381	2.757489962	2.725145	0.003438212	MO.1
D8	0.248266194	0.000246667	0.183274141	37.72066505	3.782023891	2.776879384	2.75069	0.002783232	MO.2
D9	0.239689794	0.001774916	0.184648589	26.52692738	3.753872072	5.199267097	5.16068	0.004864592	MO.3
D10	0.236319325	0.001693432	0.177966955	27.70871094	3.894808339	4.857907226	4.82991	0.004359395	MO.A1.9
D11	0.23398872	0.001974446	0.175109036	27.22024569	3.958374721	4.922067745	4.891805	0.004647444	MO.0
E7	0.548404761	3.62E-05	0.558751012	17.22730411	1.24052962	16.96357294	16.964095	0.044054664	AA.1
E8	0.315659049	1.21E-07	1.101156575	13.41593355	0.629471954	10.96727887	11.11831	0.071998412	AA.2
E9	0.395638096	1.53E-06	1.10341806	11.29398101	0.628181834	14.58560019	14.732195	0.096165363	AA.3
E10	0.268500698	1.03E-07	1.194961261	12.36444315	0.580058286	9.6111319	9.71395	0.050649648	AA.0
F7	0.702480334	3.17E-07	0.578854697	25.2442346	1.197445895	16.09787608	16.240915	0.014969231	AA.1
F8	0.633837457	0.000611641	0.50035795	13.87494175	1.385302623	21.7299312	21.66387	0.019427497	AA.2
F9	0.475083394	5.16E-06	0.731514721	15.62539831	0.947550556	15.45664193	15.54059	0.012702945	AA.3
F10	0.590458724	0.000720348	0.518251985	12.94293005	1.337471347	20.7928354	20.750185	0.022359633	AA.0
G7	0.474261104	1.80E-09	0.897346922	21.60902136	0.772440584	12.59209645	12.86978	0.063213708	AA.1
G8	0.357656915	1.17E-11	1.146401415	21.05741947	0.604628686	9.693425335	9.81308	0.046882414	AA.2
G9	0.268907971	9.20E-09	1.007118105	17.06913627	0.688248158	8.36058107	8.473135	0.051822229	AA.3
G10	0.353887506	1.98E-10	1.085471039	19.6276801	0.638568101	10.09723152	10.195105	0.06194881	AA.0
