Sp1	Sp2	day	week	N1	N2	Total	P1	P2	logN1	logN2
AA.0	CG.0	2	0.3	520000000	18000000	538000000	0.966542751	0.033457249	8.72	7.26
AA.0	CG.0	2	0.3	540000000	120000000	660000000	0.82	0.18	8.73	8.08
AA.0	CG.0	2	0.3	440000000	80000000	520000000	0.85	0.15	8.64	7.90
AA.3	CG.0	2	0.3	380000000	40000000	420000000	0.90	0.10	8.58	7.60
AA.3	CG.0	2	0.3	380000000	200000000	580000000	0.66	0.34	8.58	8.30
AA.3	CG.0	2	0.3	360000000	280000000	640000000	0.56	0.44	8.56	8.45
AA.0	CG.0	7	1	200000000	200000000	400000000	0.50	0.50	8.30	8.30
AA.0	CG.0	7	1	400000000	1600000000	2000000000	0.20	0.80	8.60	9.20
AA.0	CG.0	7	1	1000000000	1600000000	2600000000	0.38	0.62	9.00	9.20
AA.3	CG.0	7	1	400000000	1600000000	2000000000	0.20	0.80	8.60	9.20
AA.3	CG.0	7	1	1000000000	2000000000	3000000000	0.33	0.67	9.00	9.30
AA.3	CG.0	7	1	400000000	3000000000	3400000000	0.12	0.88	8.60	9.48
AA.0	CG.0	14	2	0	2000000000	2000000000	0.00	1.00	0.00	9.30
AA.0	CG.0	14	2	0	2200000000	2200000000	0.00	1.00	0.00	9.34
AA.0	CG.0	14	2	0	3600000000	3600000000	0.00	1.00	0.00	9.56
AA.3	CG.0	14	2	0	2200000000	2200000000	0.00	1.00	0.00	9.34
AA.3	CG.0	14	2	0	3000000000	3000000000	0.00	1.00	0.00	9.48
AA.3	CG.0	14	2	0	3400000000	3400000000	0.00	1.00	0.00	9.53
AA.0	CG.0	21	3	0	1600000000	1600000000	0.00	1.00	0.00	9.20
AA.0	CG.0	21	3	0	3400000000	3400000000	0.00	1.00	0.00	9.53
AA.0	CG.0	21	3	0	2400000000	2400000000	0.00	1.00	0.00	9.38
AA.3	CG.0	21	3	0	2800000000	2800000000	0.00	1.00	0.00	9.45
AA.3	CG.0	21	3	0	3800000000	3800000000	0.00	1.00	0.00	9.58
AA.3	CG.0	21	3	0	4400000000	4400000000	0.00	1.00	0.00	9.64
