Condition	Community	Invader	Date	ID	AA	CG	MO	PM	D	nAA	nCG	nMO	nPM	Total	fAA	fCG	fMO	fPM
A1.AA0	A1.9	AA.0	20220729	1	2	0	8	216	1	40	0	160	4320	4520	0.01	0.00	0.04	0.96
A1.AA0	A1.9	AA.0	20220729	2	0	0	14	112	1	0	0	280	2240	2520	0.00	0.00	0.11	0.89
A1.AA0	A1.9	AA.0	20220729	3	0	0	15	186	1	0	0	300	3720	4020	0.00	0.00	0.07	0.93
A1.AA0	A1.9	AA.0	20220729	4	0	0	202	134	1	0	0	4040	2680	6720	0.00	0.00	0.60	0.40
A1.AA0	A1.9	AA.0	20220729	5	1	0	24	12	2	200	0	4800	2400	7400	0.03	0.00	0.65	0.32
A1.AA0	A1.9	AA.0	20220729	6	0	0	26	82	2	0	0	5200	16400	21600	0.00	0.00	0.24	0.76
A1.AA0	A1.9	AA.0	20220729	7	8	111	118	39	2	1600	22200	23600	7800	55200	0.03	0.40	0.43	0.14
A1.AA0	A1.9	AA.0	20220729	8	7	0	199	16	2	1400	0	39800	3200	44400	0.03	0.00	0.90	0.07
A1.AA0	A1.9	AA.0	20220729	9	1	0.1	54	42	2	200	20	10800	8400	19420	0.01	0.00	0.56	0.43
A1.AA0	A1.9	AA.0	20220729	10	19	3	213	26	2	3800	600	42600	5200	52200	0.07	0.01	0.82	0.10
A1.AA0	A1.9	AA.0	20220729	11	1.2	4	13	37	2	240	800	2600	7400	11040	0.02	0.07	0.24	0.67
A1.AA0	A1.9	AA.0	20220729	12	0	1	5	96	1	0	20	100	1920	2040	0.00	0.01	0.05	0.94
A1.AA3	A1.9	AA.3	20220729	2	0	0	53	2.8	2	0	0	10600	560	11160	0.00	0.00	0.95	0.05
A1.AA3	A1.9	AA.3	20220729	3	0	0.3	16	23	2	0	60	3200	4600	7860	0.00	0.01	0.41	0.59
A1.AA3	A1.9	AA.3	20220729	5	0	0.1	235	59	2	0	20	47000	11800	58820	0.00	0.00	0.80	0.20
A1.AA3	A1.9	AA.3	20220729	6	13	0.4	269	66	2	2600	80	53800	13200	69680	0.04	0.00	0.77	0.19
A1.AA3	A1.9	AA.3	20220729	7	2	0	53	48	2	400	0	10600	9600	20600	0.02	0.00	0.51	0.47
A1.AA3	A1.9	AA.3	20220729	8	1	0	11	46	1	20	0	220	920	1160	0.02	0.00	0.19	0.79
A1.AA3	A1.9	AA.3	20220729	9	22	0	14	117	1	440	0	280	2340	3060	0.14	0.00	0.09	0.76
A1.AA3	A1.9	AA.3	20220729	10	0	0	9	46	1	0	0	180	920	1100	0.00	0.00	0.16	0.84
A1.AA3	A1.9	AA.3	20220729	11	0.3	0	30	9	2	60	0	6000	1800	7860	0.01	0.00	0.76	0.23
A1.AA3	A1.9	AA.3	20220729	12	1.1	2.1	1.8	161	2	220	420	360	32200	33200	0.01	0.01	0.01	0.97
AI.AA0	A1.PM.I2	AA.0	20220729	1	0	1.4	121	19	2	0	280	24200	3800	28280	0.00	0.01	0.86	0.13
AI.AA0	A1.PM.I2	AA.0	20220729	2	1	4	17	66	1	20	80	340	1320	1760	0.01	0.05	0.19	0.75
AI.AA0	A1.PM.I2	AA.0	20220729	3	18	4	59	94	2	3600	800	11800	18800	35000	0.10	0.02	0.34	0.54
AI.AA0	A1.PM.I2	AA.0	20220729	4	0	11	57	133	2	0	2200	11400	26600	40200	0.00	0.05	0.28	0.66
AI.AA0	A1.PM.I2	AA.0	20220729	5	0	3	31	42	1	0	60	620	840	1520	0.00	0.04	0.41	0.55
AI.AA0	A1.PM.I2	AA.0	20220729	6	0	0.9	0.7	61	2	0	180	140	12200	12520	0.00	0.01	0.01	0.97
AI.AA0	A1.PM.I2	AA.0	20220729	7	6	0.4	19	16	2	1200	80	3800	3200	8280	0.14	0.01	0.46	0.39
AI.AA0	A1.PM.I2	AA.0	20220729	8	39	4	116	24	2	7800	800	23200	4800	36600	0.21	0.02	0.63	0.13
AI.AA0	A1.PM.I2	AA.0	20220729	9	10	2.1	166	12	2	2000	420	33200	2400	38020	0.05	0.01	0.87	0.06
AI.AA0	A1.PM.I2	AA.0	20220729	10	8	27	229	39	2	1600	5400	45800	7800	60600	0.03	0.09	0.76	0.13
AI.AA0	A1.PM.I2	AA.0	20220729	12	0	2	2	192	2	0	400	400	38400	39200	0.00	0.01	0.01	0.98
AI.AA0	A1.PM.I2	AA.0	20220729	13	0.4	0.2	61	33	2	80	40	12200	6600	18920	0.00	0.00	0.64	0.35
