Date	Species	Strain	logCFU	CFU
20220109	PM	PM.A1.5	3.77815125	6000
20220109	PM	PM.A1.5	4.792391689	62000
20220109	PM	PM.A1.5	3.643452676	4400
20220109	PM	PM.A1.5	4.763427994	58000
20220109	PM	PM.A1.5	3.531478917	3400
20220109	PM	PM.A1.5	3.477121255	3000
20220109	PM	PM.A1.5	3.477121255	3000
20220109	PM	PM.A1.5	3.643452676	4400
20220109	PM	PM.A1.5	3.602059991	4000
20220109	PM	PM.A1.5	3.579783597	3800
20220109	PM	PM.A1.5	4.579783597	38000
20220109	PM	PM.A1.5	3.556302501	3600
20211213	PM	PM.A1.5	3.447158031	2800
20211213	PM	PM.A1.5	4.806179974	64000
20211213	PM	PM.A1.5	3.505149978	3200
20211213	PM	PM.A1.5	3.602059991	4000
20211213	PM	PM.A1.5	3.77815125	6000
20211213	PM	PM.A1.5	3.556302501	3600
20211213	PM	PM.A1.5	3.716003344	5200
20211213	PM	PM.A1.5	4.505149978	32000
20211213	PM	PM.A1.5	3.77815125	6000
20211213	PM	PM.A1.5	3.662757832	4600
20211213	PM	PM.A1.5	3.602059991	4000
20211213	PM	PM.A1.5	4.903089987	80000
20211213	PM	PM.A1.5	4.698970004	50000
20211213	PM	PM.A1.5	4.903089987	80000
20211213	PM	PM.A1.5	4.556302501	36000
20211213	PM	PM.A1.5	3.602059991	4000
20211213	PM	PM.A1.5	3.698970004	5000
20211213	PM	PM.A1.5	3.681241237	4800
20211213	PM	PM.A1.5	4.556302501	36000
20211213	PM	PM.A1.5	4.342422681	22000
20211213	PM	PM.A1.5	3.556302501	3600
20211213	PM	PM.A1.5	4.62324929	42000
20211213	PM	PM.A1.5	5	100000
20211213	PM	PM.A1.5	3.77815125	6000
20220109	PM	PM.A1.9	3.73239376	5400
20220109	PM	PM.A1.9	3.77815125	6000
20220109	PM	PM.A1.9	2.903089987	800
20220109	PM	PM.A1.9	3.579783597	3800
20220109	PM	PM.A1.9	3.716003344	5200
20220109	PM	PM.A1.9	4.73239376	54000
20220109	PM	PM.A1.9	3.602059991	4000
20220109	PM	PM.A1.9	3.602059991	4000
20220109	PM	PM.A1.9	3.447158031	2800
20220109	PM	PM.A1.9	3.681241237	4800
20220109	PM	PM.A1.9	3.698970004	5000
20220109	PM	PM.A1.9	3.73239376	5400
20210117	PM	PM.A1.9	3.602059991	4000
20210117	PM	PM.A1.9	3.662757832	4600
20210117	PM	PM.A1.9	3.556302501	3600
20210117	PM	PM.A1.9	3.748188027	5600
20210117	PM	PM.A1.9	3.698970004	5000
20210117	PM	PM.A1.9	3.643452676	4400
20210117	PM	PM.A1.9	3.556302501	3600
20210117	PM	PM.A1.9	3.73239376	5400
20210117	PM	PM.A1.9	3.531478917	3400
20210117	PM	PM.A1.9	4.342422681	22000
20210117	PM	PM.A1.9	3.62324929	4200
20210117	PM	PM.A1.9	3.903089987	8000
20201206	PM	PM.A1.9	3.380211242	2400
20201206	PM	PM.A1.9	3.698970004	5000
20201206	PM	PM.A1.9	3.556302501	3600
20201206	PM	PM.A1.9	3.579783597	3800
20201206	PM	PM.A1.9	3.531478917	3400
20201206	PM	PM.A1.9	3.380211242	2400
20201206	PM	PM.A1.9	3.301029996	2000
20201206	PM	PM.A1.9	3.579783597	3800
20201206	PM	PM.A1.9	3.477121255	3000
20201206	PM	PM.A1.9	3.414973348	2600
20201206	PM	PM.A1.9	3.505149978	3200
20201206	PM	PM.A1.9	3.556302501	3600
20220109	PM	PM.I2.5	3.819543936	6600
20220109	PM	PM.I2.5	4.934498451	86000
20220109	PM	PM.I2.5	4.447158031	28000
20220109	PM	PM.I2.5	4.806179974	64000
20220109	PM	PM.I2.5	4.556302501	36000
20220109	PM	PM.I2.5	4.954242509	90000
20220109	PM	PM.I2.5	3.819543936	6600
20220109	PM	PM.I2.5	4.698970004	50000
20220109	PM	PM.I2.5	3.857332496	7200
20220109	PM	PM.I2.5	3.662757832	4600
20220109	PM	PM.I2.5	4.079181246	12000
20220109	PM	PM.I2.5	3.84509804	7000
20211213	PM	PM.I2.5	3.716003344	5200
20211213	PM	PM.I2.5	3.62324929	4200
20211213	PM	PM.I2.5	3.556302501	3600
20211213	PM	PM.I2.5	3.477121255	3000
20211213	PM	PM.I2.5	3.698970004	5000
20211213	PM	PM.I2.5	4.146128036	14000
20211213	PM	PM.I2.5	3.301029996	2000
20211213	PM	PM.I2.5	3.62324929	4200
20211213	PM	PM.I2.5	4.477121255	30000
20211213	PM	PM.I2.5	3.531478917	3400
20211213	PM	PM.I2.5	3.62324929	4200
20211213	PM	PM.I2.5	4.079181246	12000
20211213	PM	PM.I2.5	4.301029996	20000
20211213	PM	PM.I2.5	5	100000
20211213	PM	PM.I2.5	3.602059991	4000
20211213	PM	PM.I2.5	4.643452676	44000
20211213	PM	PM.I2.5	4.579783597	38000
20211213	PM	PM.I2.5	4.698970004	50000
20211213	PM	PM.I2.5	3.579783597	3800
20211213	PM	PM.I2.5	3.662757832	4600
20211213	PM	PM.I2.5	3.643452676	4400
20211213	PM	PM.I2.5	4.73239376	54000
20211213	PM	PM.I2.5	4.698970004	50000
20211213	PM	PM.I2.5	4.748188027	56000
20220109	PM	PM.I2.9	3.602059991	4000
20220109	PM	PM.I2.9	3.579783597	3800
20220109	PM	PM.I2.9	3.380211242	2400
20220109	PM	PM.I2.9	3.414973348	2600
20220109	PM	PM.I2.9	4.643452676	44000
20220109	PM	PM.I2.9	3.698970004	5000
20220109	PM	PM.I2.9	4.342422681	22000
20220109	PM	PM.I2.9	3.716003344	5200
20220109	PM	PM.I2.9	3.602059991	4000
20220109	PM	PM.I2.9	3.380211242	2400
20220109	PM	PM.I2.9	3.556302501	3600
20220109	PM	PM.I2.9	4.698970004	50000
20211213	PM	PM.I2.9	3.954242509	9000
20211213	PM	PM.I2.9	3.414973348	2600
20211213	PM	PM.I2.9	3.62324929	4200
20211213	PM	PM.I2.9	3.531478917	3400
20211213	PM	PM.I2.9	3.505149978	3200
20211213	PM	PM.I2.9	4.204119983	16000
20211213	PM	PM.I2.9	4.447158031	28000
20211213	PM	PM.I2.9	3.301029996	2000
20211213	PM	PM.I2.9	3.146128036	1400
20211213	PM	PM.I2.9	3.447158031	2800
20211213	PM	PM.I2.9	3.447158031	2800
20211213	PM	PM.I2.9	3.255272505	1800
20211213	PM	PM.I2.9	4.763427994	58000
20211213	PM	PM.I2.9	4.204119983	16000
20211213	PM	PM.I2.9	4.204119983	16000
20211213	PM	PM.I2.9	4.079181246	12000
20211213	PM	PM.I2.9	3.414973348	2600
20211213	PM	PM.I2.9	3.255272505	1800
20211213	PM	PM.I2.9	3.342422681	2200
20211213	PM	PM.I2.9	3.414973348	2600
20211213	PM	PM.I2.9	3.447158031	2800
20211213	PM	PM.I2.9	3.505149978	3200
20211213	PM	PM.I2.9	3.447158031	2800
20211213	PM	PM.I2.9	3.204119983	1600
20210119	MO	MO.0	4.662757832	46000
20210119	MO	MO.0	4.643452676	44000
20210119	MO	MO.0	3.73239376	5400
20210119	MO	MO.0	3.643452676	4400
20210119	MO	MO.0	3.556302501	3600
20210119	MO	MO.0	3.447158031	2800
