Sp1	Sp2	Date	Rep	N1	N2	Total	P1	P2	Run
SS.0	AA.0	20210603	1	3.80E+09	7.60E+09	1.14E+10	0.333	0.667	2
SS.0	AA.0	20210603	2	1.20E+09	3.00E+09	4.20E+09	0.286	0.714	2
SS.0	AA.0	20210603	3	3.20E+09	8.80E+09	1.20E+10	0.267	0.733	2
SS.0	AA.3	20210603	1	3.40E+09	1.06E+10	1.40E+10	0.243	0.757	2
SS.0	AA.3	20210603	2	1.40E+09	7.00E+09	8.40E+09	0.167	0.833	2
SS.0	AA.3	20210603	3	3.60E+09	9.80E+09	1.34E+10	0.269	0.731	2
PM.A1.9	AA.0	20210603	1	4.40E+09	8.00E+09	1.24E+10	0.355	0.645	2
PM.A1.9	AA.0	20210603	2	2.00E+09	5.80E+09	7.80E+09	0.256	0.744	2
PM.A1.9	AA.0	20210603	3	2.00E+08	3.20E+09	3.40E+09	0.059	0.941	2
PM.A1.9	AA.3	20210603	1	1.60E+09	9.60E+09	1.12E+10	0.143	0.857	2
PM.A1.9	AA.3	20210603	2	2.00E+08	2.40E+09	2.60E+09	0.077	0.923	2
PM.A1.9	AA.3	20210603	3	1.00E+09	7.00E+09	8.00E+09	0.125	0.875	2
MO.0	AA.0	20210603	1	2.00E+09	6000000000	8000000000	0.250	0.750	2
MO.0	AA.0	20210603	2	1.60E+09	5600000000	7200000000	0.222	0.778	2
MO.0	AA.0	20210603	3	1.80E+09	5400000000	7200000000	0.250	0.750	2
MO.0	AA.3	20210603	1	2.00E+08	5000000000	5200000000	0.038	0.962	2
MO.0	AA.3	20210603	2	4.00E+08	11600000000	12000000000	0.033	0.967	2
MO.0	AA.3	20210603	3	1.00E+09	10600000000	11600000000	0.086	0.914	2
MO.A1.9	AA.0	20210603	1	1.40E+09	7000000000	8400000000	0.167	0.833	2
MO.A1.9	AA.0	20210603	2	3.60E+09	8000000000	11600000000	0.310	0.690	2
MO.A1.9	AA.0	20210603	3	1.80E+09	8600000000	10400000000	0.173	0.827	2
MO.A1.9	AA.3	20210603	1	2.00E+08	2000000000	2200000000	0.091	0.909	2
MO.A1.9	AA.3	20210603	2	6.00E+08	9400000000	10000000000	0.060	0.940	2
MO.A1.9	AA.3	20210603	3	2.00E+08	5600000000	5800000000	0.034	0.966	2
CG.0	AA.0	20210603	1	4.20E+09	400000000	4600000000	0.913	0.087	2
CG.0	AA.0	20210603	2	6.60E+09	1800000000	8400000000	0.786	0.214	2
CG.0	AA.0	20210603	3	5.00E+09	2600000000	7600000000	0.658	0.342	2
CG.0	AA.3	20210603	1	6.40E+09	3800000000	10200000000	0.627	0.373	2
CG.0	AA.3	20210603	2	5.60E+09	4800000000	10400000000	0.538	0.462	2
CG.0	AA.3	20210603	3	4.00E+09	6400000000	10400000000	0.385	0.615	2
CG.A1.9	AA.0	20210603	1	5.60E+09	2000000000	7600000000	0.737	0.263	2
CG.A1.9	AA.0	20210603	2	3.00E+09	3400000000	6400000000	0.469	0.531	2
CG.A1.9	AA.0	20210603	3	5.40E+09	1800000000	7200000000	0.750	0.250	2
CG.A1.9	AA.3	20210603	1	6.20E+09	2800000000	9000000000	0.689	0.311	2
CG.A1.9	AA.3	20210603	2	7.00E+09	3400000000	10400000000	0.673	0.327	2
CG.A1.9	AA.3	20210603	3	7.20E+09	3800000000	11000000000	0.655	0.345	2
SS.0	AA.0	20210803	1	2.00E+09	18000000000	20000000000	0.100	0.900	3
SS.0	AA.0	20210803	2	4.00E+09	24000000000	28000000000	0.143	0.857	3
SS.0	AA.0	20210803	3	8.00E+08	20000000000	20800000000	0.038	0.962	3
SS.0	AA.3	20210803	1	4.00E+09	14000000000	18000000000	0.222	0.778	3
SS.0	AA.3	20210803	2	4.00E+09	34000000000	38000000000	0.105	0.895	3
SS.0	AA.3	20210803	3	2.00E+09	14000000000	16000000000	0.125	0.875	3
PF.A1.9	AA.0	20210803	1	4.00E+08	3400000000	3800000000	0.105	0.895	3
PF.A1.9	AA.0	20210803	2	4.00E+08	3800000000	4200000000	0.095	0.905	3
PF.A1.9	AA.0	20210803	3	2.00E+08	7000000000	7200000000	0.028	0.972	3
PF.A1.9	AA.3	20210803	1	2.00E+09	8000000000	10000000000	0.200	0.800	3
PF.A1.9	AA.3	20210803	2	4.00E+09	6000000000	10000000000	0.400	0.600	3
PF.A1.9	AA.3	20210803	3	6.00E+09	12000000000	18000000000	0.333	0.667	3
MO.0	AA.0	20210803	1	0.00E+00	14000000000	14000000000	0.000	1.000	3
MO.0	AA.0	20210803	2	0.00E+00	22000000000	22000000000	0.000	1.000	3
