Sp1	Sp2	Date	Rep	Sp1_0	Sp2_0	Sp1_F	Sp2_F	p0	pF
SS.0	AA.0	20210331	1	3.00E+07	4.20E+09	1.60E+08	6.56E+08	0.99	0.80
SS.0	AA.0	20210331	2	3.00E+07	4.00E+09	1.64E+08	7.20E+08	0.99	0.81
SS.0	AA.0	20210331	3	3.00E+07	4.50E+09	1.82E+08	1.08E+09	0.99	0.86
SS.0	AA3	20210331	1	2.80E+07	4.20E+09	1.28E+08	5.84E+08	0.99	0.82
SS.0	AA3	20210331	2	2.80E+07	4.00E+09	1.76E+08	8.56E+08	0.99	0.83
SS.0	AA3	20210331	3	2.80E+07	4.50E+09	1.46E+08	1.20E+09	0.99	0.89
PM.A1.9	AA.0	20210428	1	2.00E+04	5.00E+06	6.00E+06	4.20E+07	1.00	0.88
PM.A1.9	AA.0	20210428	2	2.00E+04	5.00E+06	1.80E+07	5.40E+07	1.00	0.75
PM.A1.9	AA.0	20210428	3	2.00E+04	5.00E+06	1.60E+07	5.80E+07	1.00	0.78
PM.A1.9	AA3	20210428	1	2.00E+04	6.00E+06	1.00E+07	5.80E+07	1.00	0.85
PM.A1.9	AA3	20210428	2	2.00E+04	6.00E+06	6.00E+06	6.60E+07	1.00	0.92
PM.A1.9	AA3	20210428	3	2.00E+04	6.00E+06	8.00E+06	6.40E+07	1.00	0.89
SS.0	AA.0	20210603	1	1.20E+08	3.00E+07	3.80E+09	7.60E+09	0.20	0.67
SS.0	AA.0	20210603	2	1.20E+08	3.00E+07	1.20E+09	3.00E+09	0.20	0.71
SS.0	AA.0	20210603	3	1.20E+08	3.00E+07	3.20E+09	8.80E+09	0.20	0.73
SS.0	AA.3	20210603	1	1.20E+08	1.70E+08	3.40E+09	1.06E+10	0.59	0.76
SS.0	AA.3	20210603	2	1.20E+08	1.70E+08	1.40E+09	7.00E+09	0.59	0.83
SS.0	AA.3	20210603	3	1.20E+08	1.70E+08	3.60E+09	9.80E+09	0.59	0.73
PM.A1.9	AA.0	20210603	1	8.00E+05	3.00E+07	4.40E+09	8.00E+09	0.97	0.65
PM.A1.9	AA.0	20210603	2	8.00E+05	3.00E+07	2.00E+09	5.80E+09	0.97	0.74
PM.A1.9	AA.0	20210603	3	8.00E+05	3.00E+07	2.00E+08	3.20E+09	0.97	0.94
PM.A1.9	AA.3	20210603	1	8.00E+05	1.70E+08	1.60E+09	9.60E+09	1.00	0.86
PM.A1.9	AA.3	20210603	2	8.00E+05	1.70E+08	2.00E+08	2.40E+09	1.00	0.92
PM.A1.9	AA.3	20210603	3	8.00E+05	1.70E+08	1.00E+09	7.00E+09	1.00	0.88
PM.A1.9	AA.0	20200816	1	1.00E+08	3.00E+08	3.20E+09	5.00E+09	0.75	0.61
PM.A1.9	AA.0	20200816	2	1.00E+08	3.00E+08	4.80E+09	5.80E+09	0.75	0.55
PM.A1.9	AA.0	20200816	3	1.00E+08	3.00E+08	4.80E+09	6.20E+09	0.75	0.56
PM.A1.9	AA.0	20200816	4	1.00E+08	3.00E+08	4.60E+09	5.80E+09	0.75	0.56
PM.A1.9	AA.0	20200816	1	1.00E+08	2.70E+07	5.20E+09	5.80E+09	0.21	0.53
PM.A1.9	AA.0	20200816	2	1.00E+08	2.70E+07	2.80E+09	1.60E+09	0.21	0.36
PM.A1.9	AA.0	20200816	3	1.00E+08	2.70E+07	6.80E+09	8.20E+09	0.21	0.55
PM.A1.9	AA.0	20200816	4	1.00E+08	2.70E+07	6.40E+09	5.80E+09	0.21	0.48
PM.A1.9	AA.0	20200816	1	1.00E+08	1.60E+06	5.40E+09	8.00E+08	0.02	0.13
PM.A1.9	AA.0	20200816	2	1.00E+08	1.60E+06	8.60E+09	2.60E+09	0.02	0.23
PM.A1.9	AA.0	20200816	3	1.00E+08	1.60E+06	8.20E+09	2.00E+09	0.02	0.20
PM.A1.9	AA.0	20200816	4	1.00E+08	1.60E+06	4.80E+09	1.00E+09	0.02	0.17
PM.A1.9	AA.3	20200816	1	1.00E+08	2.70E+08	2.60E+09	4.00E+09	0.73	0.61
PM.A1.9	AA.3	20200816	2	1.00E+08	2.70E+08	3.40E+09	3.60E+09	0.73	0.51
PM.A1.9	AA.3	20200816	3	1.00E+08	2.70E+08	4.60E+09	7.40E+09	0.73	0.62
PM.A1.9	AA.3	20200816	4	1.00E+08	2.70E+08	4.40E+09	6.80E+09	0.73	0.61
PM.A1.9	AA.3	20200816	1	1.00E+08	2.50E+07	4.80E+09	5.60E+09	0.20	0.54
PM.A1.9	AA.3	20200816	2	1.00E+08	2.50E+07	1.80E+09	3.00E+09	0.20	0.63
PM.A1.9	AA.3	20200816	3	1.00E+08	2.50E+07	5.40E+09	4.20E+09	0.20	0.44
PM.A1.9	AA.3	20200816	4	1.00E+08	2.50E+07	4.60E+09	4.60E+09	0.20	0.50
PM.A1.9	AA.3	20200816	1	1.00E+08	2.10E+06	3.40E+09	1.20E+09	0.02	0.26
PM.A1.9	AA.3	20200816	2	1.00E+08	2.10E+06	1.60E+09	6.00E+08	0.02	0.27
PM.A1.9	AA.3	20200816	3	1.00E+08	2.10E+06	1.60E+09	8.00E+08	0.02	0.33
