Sp1	Invader	Count1	Count2	Total	fAA	Date	Group	Rep	Pass
CG.0	AA.0	0.00	160.00	160.00	1.00	20210308	CG	0	0
CG.0	AA.0	0.00	180.00	180.00	1.00	20210308	CG	0	0
CG.0	AA.0	340.00	0.00	340.00	0.00	20210308	CG	0	0
CG.0	AA.0	540.00	0.00	540.00	0.00	20210308	CG	0	0
CG.0	AA.0	1460.00	4460.00	5920.00	0.75	20210308	CG	0	0
CG.0	AA.0	16000.00	800.00	16800.00	0.05	20210802	CG	0	0
CG.0	AA.0	192000.00	8000.00	200000.00	0.04	20210802	CG	0	0
CG.0	AA.0	3200.00	5200.00	8400.00	0.62	20210802	CG	0	0
CG.0	AA.0	18000.00	600000.00	618000.00	0.97	20210802	CG	0	0
CG.0	AA.0	46000.00	0.00	46000.00	0.00	20210802	CG	0	0
CG.0	AA.0	48000.00	80000.00	128000.00	0.63	20210802	CG	0	0
CG.0	AA.0	248000.00	120000.00	368000.00	0.33	20210802	CG	0	0
CG.0	AA.0	36000.00	200000.00	236000.00	0.85	20210802	CG	0	0
CG.0	AA.0	64000.00	18000.00	82000.00	0.22	20210802	CG	0	0
CG.0	AA.0	13600.00	12000.00	25600.00	0.47	20210802	CG	0	0
CG.0	AA.0	64000.00	120000.00	184000.00	0.65	20210802	CG	0	0
CG.0	AA.0	160000.00	56000.00	216000.00	0.26	20210802	CG	0	0
CG.0	AA.3	100.00	20.00	120.00	0.17	20210308	CG	0	0
CG.0	AA.3	100.00	40.00	140.00	0.29	20210308	CG	0	0
CG.0	AA.3	20.00	120.00	140.00	0.86	20210308	CG	0	0
CG.0	AA.3	380.00	20.00	400.00	0.05	20210308	CG	0	0
CG.0	AA.3	740.00	20.00	760.00	0.03	20210308	CG	0	0
CG.0	AA.3	960.00	60.00	1020.00	0.06	20210308	CG	0	0
CG.0	AA.3	1060.00	100.00	1160.00	0.09	20210308	CG	0	0
CG.0	AA.3	1580.00	40.00	1620.00	0.02	20210308	CG	0	0
CG.0	AA.3	5200.00	40.00	5240.00	0.01	20210308	CG	0	0
CG.0	AA.3	64000.00	26000.00	90000.00	0.29	20210802	CG	0	0
CG.0	AA.3	3600.00	1000.00	4600.00	0.22	20210802	CG	0	0
CG.0	AA.3	88000.00	30000.00	118000.00	0.25	20210802	CG	0	0
CG.0	AA.3	328000.00	24000.00	352000.00	0.07	20210802	CG	0	0
CG.0	AA.3	4800.00	2200.00	7000.00	0.31	20210802	CG	0	0
CG.0	AA.3	42000.00	72000.00	114000.00	0.63	20210802	CG	0	0
CG.0	AA.3	26000.00	70000.00	96000.00	0.73	20210802	CG	0	0
CG.0	AA.3	168000.00	66000.00	234000.00	0.28	20210802	CG	0	0
CG.0	AA.3	112000.00	30000.00	142000.00	0.21	20210802	CG	0	0
CG.0	AA.3	20000.00	62000.00	82000.00	0.76	20210802	CG	0	0
CG.0	AA.3	9000.00	7000.00	16000.00	0.44	20210802	CG	0	0
CG.0	AA.3	0.00	6600.00	6600.00	1.00	20210802	CG	0	0
CG.A1.9	AA.0	140.00	0.00	140.00	0.00	20210308	CG	A1	9
CG.A1.9	AA.0	140.00	20.00	160.00	0.13	20210308	CG	A1	9
CG.A1.9	AA.0	220.00	0.00	220.00	0.00	20210308	CG	A1	9
CG.A1.9	AA.0	440.00	20.00	460.00	0.04	20210308	CG	A1	9
CG.A1.9	AA.0	20.00	480.00	500.00	0.96	20210308	CG	A1	9
CG.A1.9	AA.0	100.00	1600.00	1700.00	0.94	20210308	CG	A1	9
CG.A1.9	AA.0	1760.00	160.00	1920.00	0.08	20210308	CG	A1	9
CG.A1.9	AA.0	2240.00	200.00	2440.00	0.08	20210308	CG	A1	9
CG.A1.9	AA.0	3400.00	200.00	3600.00	0.06	20210308	CG	A1	9
